"REPORTE DE VENTAS POR CLIENTE DETALLADO","","","","","","","","","","","","",""
"Caja","Cliente","Nombre","Doc.","Factura","TOTAL1","F.Emision","Usuhora","Clave","Descripción","Cantidad","Prec.","Importe","Total"
"ESTACION05","SYS","Cliente de mostrador","REM","50935","701.5","12/8/2020","12:12:59","ACNUT1","Aceite Nutrioli 850ml","4","27.5","110","4"
"ESTACION05","SYS","Cliente de mostrador","REM","51044","459.12","12/8/2020","16:01:05","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51048","140.5","12/8/2020","16:08:20","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
"ESTACION05","SYS","Cliente de mostrador","REM","51209","285.4","12/9/2020","11:29:22","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51239","88.3","12/9/2020","12:22:34","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51356","40","12/9/2020","17:04:46","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51381","544.7","12/9/2020","18:12:30","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51494","207.5","12/10/2020","10:33:06","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51645","149","12/10/2020","14:52:34","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","51686","587.84","12/10/2020","16:39:19","ACNUT1","Aceite Nutrioli 850ml","6","26.16","156.96","6"
"ESTACION05","SYS","Cliente de mostrador","REM","51810","27.5","12/11/2020","08:57:29","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","51863","27.5","12/11/2020","11:03:37","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52004","754.46","12/11/2020","14:46:57","ACNUT1","Aceite Nutrioli 850ml","2","27.5","55","2"
"ESTACION05","SYS","Cliente de mostrador","REM","52196","100.4","12/12/2020","08:47:58","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52263","175.2","12/12/2020","10:33:33","ACNUT1","Aceite Nutrioli 850ml","1","27.5","27.5","1"
"ESTACION05","SYS","Cliente de mostrador","REM","52299","483.9","12/12/2020","11:28:19","ACNUT1","Aceite Nutrioli 850ml","3","27.5","82.5","3"
